state,candidate,party,votes
Delaware,Biden,DEM,44518
Delaware,Trump,REP,40976
Delaware,Jorgensen,LIB,1044
Delaware,Hawkins,GRN,420
Delaware,Biden,DEM,194238
Delaware,Trump,REP,87685
Delaware,Jorgensen,LIB,2932
Delaware,Hawkins,GRN,1278
Delaware,Trump,REP,71196
Delaware,Biden,DEM,56657
Delaware,Jorgensen,LIB,1003
Delaware,Hawkins,GRN,437
District of Columbia,Biden,DEM,29509
District of Columbia,Trump,REP,1149
District of Columbia,Hawkins,GRN,185
District of Columbia,Jorgensen,LIB,134
District of Columbia,Riva,PSL,73
District of Columbia,Biden,DEM,24247
District of Columbia,Trump,REP,2365
District of Columbia,Jorgensen,LIB,214
District of Columbia,Hawkins,GRN,92
District of Columbia,Riva,PSL,36
District of Columbia,Biden,DEM,33584
District of Columbia,Trump,REP,2972
District of Columbia,Jorgensen,LIB,248
District of Columbia,Hawkins,GRN,128
District of Columbia,Riva,PSL,55
District of Columbia,Biden,DEM,35117
District of Columbia,Trump,REP,1467
District of Columbia,Hawkins,GRN,186
District of Columbia,Jorgensen,LIB,100
District of Columbia,Riva,PSL,91
District of Columbia,Biden,DEM,36585
District of Columbia,Trump,REP,1416
District of Columbia,Hawkins,GRN,216
District of Columbia,Jorgensen,LIB,157
District of Columbia,Riva,PSL,92
District of Columbia,Biden,DEM,44699
District of Columbia,Trump,REP,3360
District of Columbia,Jorgensen,LIB,403
District of Columbia,Hawkins,GRN,166
District of Columbia,Riva,PSL,79
District of Columbia,Biden,DEM,30253
District of Columbia,Trump,REP,885
District of Columbia,Hawkins,GRN,186
District of Columbia,Jorgensen,LIB,91
District of Columbia,Riva,PSL,87
District of Columbia,Biden,DEM,24567
District of Columbia,Trump,REP,835
District of Columbia,Hawkins,GRN,143
District of Columbia,Riva,PSL,107
District of Columbia,Jorgensen,LIB,102
Florida,Biden,DEM,89527
Florida,Trump,REP,50891
Florida,Jorgensen,LIB,1389
Florida,Hawkins,GRN,301
Florida,Riva,PSL,94
Florida,Fuente,ALI,69
Florida,Blankenship,CST,52
Florida,Trump,REP,11911
Florida,Biden,DEM,2037
Florida,Jorgensen,LIB,93
Florida,Hawkins,GRN,10
Florida,Fuente,ALI,4
Florida,Riva,PSL,3
Florida,Blankenship,CST,1
Florida,Trump,REP,65993
Florida,Biden,DEM,25538
Florida,Jorgensen,LIB,997
Florida,Hawkins,GRN,141
Florida,Fuente,ALI,54
Florida,Blankenship,CST,52
Florida,Riva,PSL,45
Florida,Trump,REP,10334
Florida,Biden,DEM,3160
Florida,Jorgensen,LIB,110
Florida,Hawkins,GRN,11
Florida,Fuente,ALI,7
Florida,Blankenship,CST,6
Florida,Riva,PSL,3
Florida,Trump,REP,207857
Florida,Biden,DEM,148479
Florida,Jorgensen,LIB,3176
Florida,Hawkins,GRN,553
Florida,Fuente,ALI,222
Florida,Blankenship,CST,171
Florida,Riva,PSL,164
Florida,Biden,DEM,618597
Florida,Trump,REP,333346
Florida,Jorgensen,LIB,3111
Florida,Hawkins,GRN,1253
Florida,Fuente,ALI,426
Florida,Riva,PSL,417
Florida,Blankenship,CST,238
Florida,Trump,REP,5269
Florida,Biden,DEM,1206
Florida,Jorgensen,LIB,29
Florida,Fuente,ALI,4
Florida,Hawkins,GRN,4
Florida,Riva,PSL,4
Florida,Blankenship,CST,2
Florida,Trump,REP,73202
Florida,Biden,DEM,42240
Florida,Jorgensen,LIB,564
Florida,Hawkins,GRN,127
Florida,Fuente,ALI,49
Florida,Blankenship,CST,45
Florida,Riva,PSL,32
Florida,Trump,REP,65230
Florida,Biden,DEM,27049
Florida,Jorgensen,LIB,548
Florida,Hawkins,GRN,86
Florida,Blankenship,CST,49
Florida,Fuente,ALI,42
Florida,Riva,PSL,30
Florida,Trump,REP,84422
Florida,Biden,DEM,38248
Florida,Jorgensen,LIB,1280
Florida,Hawkins,GRN,153
Florida,Blankenship,CST,57
Florida,Riva,PSL,54
Florida,Fuente,ALI,45
Florida,Trump,REP,128936
Florida,Biden,DEM,77595
Florida,Jorgensen,LIB,889
Florida,Hawkins,GRN,186
Florida,Fuente,ALI,64
Florida,Riva,PSL,49
Florida,Blankenship,CST,39
Florida,Trump,REP,23835
Florida,Biden,DEM,8912
Florida,Jorgensen,LIB,224
Florida,Hawkins,GRN,28
Florida,Riva,PSL,20
Florida,Fuente,ALI,12
Florida,Blankenship,CST,8
Florida,Trump,REP,8313
Florida,Biden,DEM,4259
Florida,Jorgensen,LIB,52
Florida,Fuente,ALI,12
Florida,Riva,PSL,11
Florida,Hawkins,GRN,8
Florida,Blankenship,CST,4
Florida,Trump,REP,6757
Florida,Biden,DEM,1364
Florida,Jorgensen,LIB,27
Florida,Fuente,ALI,5
Florida,Hawkins,GRN,5
Florida,Blankenship,CST,4
Florida,Riva,PSL,2
Florida,Biden,DEM,252450
Florida,Trump,REP,233687
Florida,Jorgensen,LIB,4782
Florida,Hawkins,GRN,772
Florida,Riva,PSL,328
Florida,Fuente,ALI,319
Florida,Blankenship,CST,218
Florida,Trump,REP,96655
Florida,Biden,DEM,70893
Florida,Jorgensen,LIB,2141
Florida,Hawkins,GRN,255
Florida,Riva,PSL,137
Florida,Fuente,ALI,105
Florida,Blankenship,CST,92
Florida,Trump,REP,42991
Florida,Biden,DEM,28124
Florida,Jorgensen,LIB,358
Florida,Hawkins,GRN,69
Florida,Fuente,ALI,30
Florida,Riva,PSL,29
Florida,Blankenship,CST,20
Florida,Trump,REP,4675
Florida,Biden,DEM,2118
Florida,Jorgensen,LIB,27
Florida,Hawkins,GRN,12
Florida,Riva,PSL,8
Florida,Fuente,ALI,4
Florida,Blankenship,CST,3
Florida,Biden,DEM,16139
Florida,Trump,REP,7461
Florida,Jorgensen,LIB,96
Florida,Hawkins,GRN,21
Florida,Riva,PSL,10
Florida,Blankenship,CST,9
Florida,Fuente,ALI,8
Florida,Trump,REP,7895
Florida,Biden,DEM,1700
Florida,Jorgensen,LIB,61
Florida,Hawkins,GRN,13
Florida,Fuente,ALI,6
Florida,Blankenship,CST,5
Florida,Riva,PSL,2
Florida,Trump,REP,3781
Florida,Biden,DEM,1384
Florida,Jorgensen,LIB,21
Florida,Hawkins,GRN,4
Florida,Riva,PSL,1
Florida,Blankenship,CST,0
Florida,Fuente,ALI,0
Florida,Trump,REP,6111
Florida,Biden,DEM,1985
Florida,Jorgensen,LIB,48
Florida,Blankenship,CST,6
Florida,Fuente,ALI,6
Florida,Hawkins,GRN,5
Florida,Riva,PSL,0
Florida,Trump,REP,3811
Florida,Biden,DEM,1959
Florida,Jorgensen,LIB,33
Florida,Hawkins,GRN,8
Florida,Fuente,ALI,6
Florida,Blankenship,CST,2
Florida,Riva,PSL,2
Florida,Trump,REP,6122
Florida,Biden,DEM,2298
Florida,Jorgensen,LIB,40
Florida,Fuente,ALI,10
Florida,Hawkins,GRN,8
Florida,Riva,PSL,6
Florida,Blankenship,CST,1
Florida,Trump,REP,7898
Florida,Biden,DEM,4925
Florida,Jorgensen,LIB,65
Florida,Hawkins,GRN,13
Florida,Fuente,ALI,11
Florida,Riva,PSL,8
Florida,Blankenship,CST,7
Florida,Trump,REP,70321
Florida,Biden,DEM,37446
Florida,Jorgensen,LIB,685
Florida,Blankenship,CST,235
Florida,Hawkins,GRN,148
Florida,Fuente,ALI,62
Florida,Riva,PSL,44
Florida,Trump,REP,34846
Florida,Biden,DEM,16917
Florida,Jorgensen,LIB,221
Florida,Hawkins,GRN,53
Florida,Blankenship,CST,28
Florida,Fuente,ALI,28
Florida,Riva,PSL,24
Florida,Biden,DEM,376196
Florida,Trump,REP,327306
Florida,Jorgensen,LIB,5661
Florida,Hawkins,GRN,1186
Florida,Fuente,ALI,574
Florida,Riva,PSL,529
Florida,Blankenship,CST,270
Florida,Trump,REP,8074
Florida,Biden,DEM,924
Florida,Jorgensen,LIB,48
Florida,Hawkins,GRN,9
Florida,Blankenship,CST,4
Florida,Fuente,ALI,2
Florida,Riva,PSL,1
Florida,Trump,REP,58797
Florida,Biden,DEM,37801
Florida,Jorgensen,LIB,532
Florida,Hawkins,GRN,117
Florida,Fuente,ALI,43
Florida,Blankenship,CST,38
Florida,Riva,PSL,33
Florida,Trump,REP,15488
Florida,Biden,DEM,6766
Florida,Jorgensen,LIB,116
Florida,Fuente,ALI,13
Florida,Hawkins,GRN,13
Florida,Riva,PSL,13
Florida,Blankenship,CST,5
Florida,Trump,REP,4474
Florida,Biden,DEM,3893
Florida,Jorgensen,LIB,46
Florida,Hawkins,GRN,13
Florida,Blankenship,CST,5
Florida,Fuente,ALI,4
Florida,Riva,PSL,4
Florida,Trump,REP,3126
Florida,Biden,DEM,507
Florida,Jorgensen,LIB,14
Florida,Blankenship,CST,2
Florida,Hawkins,GRN,2
Florida,Fuente,ALI,1
Florida,Riva,PSL,1
Florida,Trump,REP,125687
Florida,Biden,DEM,83273
Florida,Jorgensen,LIB,1381
Florida,Hawkins,GRN,254
Florida,Fuente,ALI,120
Florida,Riva,PSL,96
Florida,Blankenship,CST,79
Florida,Trump,REP,233242
Florida,Biden,DEM,157672
Florida,Jorgensen,LIB,2016
Florida,Hawkins,GRN,440
Florida,Fuente,ALI,187
Florida,Riva,PSL,176
Florida,Blankenship,CST,121
Florida,Biden,DEM,103492
Florida,Trump,REP,57446
Florida,Jorgensen,LIB,1342
Florida,Hawkins,GRN,271
Florida,Riva,PSL,122
Florida,Fuente,ALI,98
Florida,Blankenship,CST,71
Florida,Trump,REP,16721
Florida,Biden,DEM,6189
Florida,Jorgensen,LIB,130
Florida,Hawkins,GRN,25
Florida,Fuente,ALI,14
Florida,Blankenship,CST,13
Florida,Riva,PSL,7
Florida,Trump,REP,2846
Florida,Biden,DEM,693
Florida,Jorgensen,LIB,14
Florida,Fuente,ALI,2
Florida,Hawkins,GRN,2
Florida,Blankenship,CST,1
Florida,Riva,PSL,0
Florida,Trump,REP,5576
Florida,Biden,DEM,3747
Florida,Jorgensen,LIB,32
Florida,Hawkins,GRN,13
Florida,Blankenship,CST,5
Florida,Riva,PSL,4
Florida,Fuente,ALI,3
Florida,Trump,REP,124966
Florida,Biden,DEM,90127
Florida,Jorgensen,LIB,1285
Florida,Hawkins,GRN,258
Florida,Fuente,ALI,96
Florida,Riva,PSL,78
Florida,Blankenship,CST,69
Florida,Trump,REP,127744
Florida,Biden,DEM,74802
Florida,Jorgensen,LIB,1180
Florida,Hawkins,GRN,228
Florida,Riva,PSL,98
Florida,Fuente,ALI,90
Florida,Blankenship,CST,80
Florida,Trump,REP,61133
Florida,Biden,DEM,36873
Florida,Jorgensen,LIB,448
Florida,Hawkins,GRN,105
Florida,Fuente,ALI,38
Florida,Blankenship,CST,37
Florida,Riva,PSL,35
Florida,Biden,DEM,617647
Florida,Trump,REP,532734
Florida,Jorgensen,LIB,3329
Florida,Hawkins,GRN,1287
Florida,Fuente,ALI,602
Florida,Riva,PSL,579
Florida,Blankenship,CST,293
Florida,Trump,REP,25668
Florida,Biden,DEM,21848
Florida,Jorgensen,LIB,346
Florida,Hawkins,GRN,51
Florida,Fuente,ALI,26
Florida,Riva,PSL,13
Florida,Blankenship,CST,12
Florida,Trump,REP,42502
Florida,Biden,DEM,15542
Florida,Jorgensen,LIB,568
Florida,Hawkins,GRN,43
Florida,Fuente,ALI,28
Florida,Blankenship,CST,24
Florida,Riva,PSL,12
Florida,Trump,REP,79633
Florida,Biden,DEM,34165
Florida,Jorgensen,LIB,1872
Florida,Hawkins,GRN,183
Florida,Blankenship,CST,79
Florida,Fuente,ALI,76
Florida,Riva,PSL,73
Florida,Trump,REP,11460
Florida,Biden,DEM,4380
Florida,Jorgensen,LIB,66
Florida,Blankenship,CST,8
Florida,Fuente,ALI,8
Florida,Hawkins,GRN,7
Florida,Riva,PSL,4
Florida,Biden,DEM,394857
Florida,Trump,REP,245325
Florida,Jorgensen,LIB,4682
Florida,Hawkins,GRN,1143
Florida,Riva,PSL,444
Florida,Fuente,ALI,385
Florida,Blankenship,CST,223
Florida,Biden,DEM,97278
Florida,Trump,REP,73467
Florida,Jorgensen,LIB,963
Florida,Hawkins,GRN,290
Florida,Fuente,ALI,166
Florida,Riva,PSL,140
Florida,Blankenship,CST,70
Florida,Biden,DEM,433392
Florida,Trump,REP,334642
Florida,Jorgensen,LIB,3035
Florida,Hawkins,GRN,891
Florida,Fuente,ALI,356
Florida,Riva,PSL,335
Florida,Blankenship,CST,188
Florida,Trump,REP,179545
Florida,Biden,DEM,118918
Florida,Jorgensen,LIB,2261
Florida,Hawkins,GRN,466
Florida,Fuente,ALI,200
Florida,Riva,PSL,169
Florida,Blankenship,CST,142
Florida,Biden,DEM,277191
Florida,Trump,REP,275949
Florida,Jorgensen,LIB,4257
Florida,Hawkins,GRN,910
Florida,Riva,PSL,310
Florida,Fuente,ALI,305
Florida,Blankenship,CST,199
Florida,Trump,REP,194271
Florida,Biden,DEM,144775
Florida,Jorgensen,LIB,2583
Florida,Hawkins,GRN,425
Florida,Riva,PSL,217
Florida,Fuente,ALI,204
Florida,Blankenship,CST,140
Florida,Trump,REP,25496
Florida,Biden,DEM,10512
Florida,Jorgensen,LIB,223
Florida,Hawkins,GRN,50
Florida,Blankenship,CST,20
Florida,Riva,PSL,20
Florida,Fuente,ALI,14
Florida,Trump,REP,110886
Florida,Biden,DEM,63808
Florida,Jorgensen,LIB,1412
Florida,Hawkins,GRN,210
Florida,Fuente,ALI,101
Florida,Riva,PSL,54
Florida,Blankenship,CST,44
Florida,Trump,REP,86825
Florida,Biden,DEM,84115
Florida,Jorgensen,LIB,767
Florida,Hawkins,GRN,209
Florida,Riva,PSL,82
Florida,Fuente,ALI,71
Florida,Blankenship,CST,61
Florida,Trump,REP,77349
Florida,Biden,DEM,27582
Florida,Jorgensen,LIB,1640
Florida,Hawkins,GRN,122
Florida,Fuente,ALI,60
Florida,Blankenship,CST,55
Florida,Riva,PSL,46
Florida,Trump,REP,148065
Florida,Biden,DEM,119892
Florida,Jorgensen,LIB,1500
Florida,Hawkins,GRN,283
Florida,Riva,PSL,105
Florida,Fuente,ALI,102
Florida,Blankenship,CST,70
Florida,Biden,DEM,132486
Florida,Trump,REP,125217
Florida,Jorgensen,LIB,2215
Florida,Hawkins,GRN,406
Florida,Riva,PSL,137
Florida,Fuente,ALI,135
Florida,Blankenship,CST,103
Florida,Trump,REP,62753
Florida,Biden,DEM,29326
Florida,Jorgensen,LIB,268
Florida,Hawkins,GRN,39
Florida,Blankenship,CST,29
Florida,Fuente,ALI,25
Florida,Riva,PSL,20
Florida,Trump,REP,16410
Florida,Biden,DEM,4485
Florida,Jorgensen,LIB,119
Florida,Hawkins,GRN,23
Florida,Riva,PSL,8
Florida,Blankenship,CST,6
Florida,Fuente,ALI,6
Florida,Trump,REP,7748
Florida,Biden,DEM,2299
Florida,Jorgensen,LIB,52
Florida,Hawkins,GRN,11
Florida,Riva,PSL,6
Florida,Blankenship,CST,3
Florida,Fuente,ALI,3
Florida,Trump,REP,5130
Florida,Biden,DEM,1052
Florida,Jorgensen,LIB,42
Florida,Blankenship,CST,5
Florida,Hawkins,GRN,5
Florida,Fuente,ALI,4
Florida,Riva,PSL,3
Florida,Trump,REP,173797
Florida,Biden,DEM,130541
Florida,Jorgensen,LIB,2153
Florida,Hawkins,GRN,390
Florida,Riva,PSL,173
Florida,Fuente,ALI,160
Florida,Blankenship,CST,141
Florida,Trump,REP,12868
Florida,Biden,DEM,5346
Florida,Jorgensen,LIB,133
Florida,Hawkins,GRN,18
Florida,Blankenship,CST,10
Florida,Fuente,ALI,10
Florida,Riva,PSL,6
Florida,Trump,REP,32942
Florida,Biden,DEM,10336
Florida,Jorgensen,LIB,336
Florida,Hawkins,GRN,43
Florida,Fuente,ALI,16
Florida,Riva,PSL,15
Florida,Blankenship,CST,13
Florida,Trump,REP,9876
Florida,Biden,DEM,2347
Florida,Jorgensen,LIB,69
Florida,Hawkins,GRN,15
Florida,Riva,PSL,10
Florida,Blankenship,CST,5
Florida,Fuente,ALI,5
Georgia,Trump,REP,6526
Georgia,Biden,DEM,1779
Georgia,Jorgensen,LIB,36
Georgia,Trump,REP,2300
Georgia,Biden,DEM,825
Georgia,Jorgensen,LIB,30
Georgia,Trump,REP,4018
Georgia,Biden,DEM,625
Georgia,Jorgensen,LIB,25
Georgia,Trump,REP,897
Georgia,Biden,DEM,652
Georgia,Jorgensen,LIB,6
Georgia,Biden,DEM,9140
Georgia,Trump,REP,8903
Georgia,Jorgensen,LIB,208
Georgia,Trump,REP,7795
Georgia,Biden,DEM,932
Georgia,Jorgensen,LIB,74
Georgia,Trump,REP,26804
Georgia,Biden,DEM,10453
Georgia,Jorgensen,LIB,664
Georgia,Trump,REP,37673
Georgia,Biden,DEM,12091
Georgia,Jorgensen,LIB,701
Georgia,Trump,REP,4110
Georgia,Biden,DEM,2392
Georgia,Jorgensen,LIB,58
Georgia,Trump,REP,6409
Georgia,Biden,DEM,1268
Georgia,Jorgensen,LIB,54
Georgia,Biden,DEM,43234
Georgia,Trump,REP,26506
Georgia,Jorgensen,LIB,740
Georgia,Trump,REP,4328
Georgia,Biden,DEM,1311
Georgia,Jorgensen,LIB,67
Georgia,Trump,REP,6991
Georgia,Biden,DEM,699
Georgia,Jorgensen,LIB,56
Georgia,Trump,REP,4260
Georgia,Biden,DEM,2790
Georgia,Jorgensen,LIB,50
Georgia,Trump,REP,14244
Georgia,Biden,DEM,6739
Georgia,Jorgensen,LIB,357
Georgia,Trump,REP,18386
Georgia,Biden,DEM,11243
Georgia,Jorgensen,LIB,455
Georgia,Trump,REP,5400
Georgia,Biden,DEM,5209
Georgia,Jorgensen,LIB,75
Georgia,Trump,REP,8403
Georgia,Biden,DEM,3271
Georgia,Jorgensen,LIB,91
Georgia,Biden,DEM,1260
Georgia,Trump,REP,923
Georgia,Jorgensen,LIB,11
Georgia,Trump,REP,15251
Georgia,Biden,DEM,7967
Georgia,Jorgensen,LIB,470
Georgia,Trump,REP,3129
Georgia,Biden,DEM,1258
Georgia,Jorgensen,LIB,29
Georgia,Trump,REP,37476
Georgia,Biden,DEM,16238
Georgia,Jorgensen,LIB,760
Georgia,Trump,REP,25167
Georgia,Biden,DEM,6932
Georgia,Jorgensen,LIB,494
Georgia,Trump,REP,3419
Georgia,Biden,DEM,1102
Georgia,Jorgensen,LIB,44
Georgia,Biden,DEM,78181
Georgia,Trump,REP,53191
Georgia,Jorgensen,LIB,1917
Georgia,Trump,REP,880
Georgia,Biden,DEM,667
Georgia,Jorgensen,LIB,35
Georgia,Trump,REP,8064
Georgia,Biden,DEM,1854
Georgia,Jorgensen,LIB,132
Georgia,Trump,REP,99474
Georgia,Biden,DEM,42683
Georgia,Jorgensen,LIB,2441
Georgia,Biden,DEM,35969
Georgia,Trump,REP,14412
Georgia,Jorgensen,LIB,837
Georgia,Biden,DEM,790
Georgia,Trump,REP,637
Georgia,Jorgensen,LIB,7
Georgia,Biden,DEM,94365
Georgia,Trump,REP,15671
Georgia,Jorgensen,LIB,1041
Georgia,Trump,REP,2105
Georgia,Biden,DEM,747
Georgia,Jorgensen,LIB,12
Georgia,Biden,DEM,221730
Georgia,Trump,REP,165178
Georgia,Jorgensen,LIB,6432
Georgia,Trump,REP,10532
Georgia,Biden,DEM,4463
Georgia,Jorgensen,LIB,124
Georgia,Trump,REP,11776
Georgia,Biden,DEM,4185
Georgia,Jorgensen,LIB,119
Georgia,Trump,REP,50013
Georgia,Biden,DEM,29236
Georgia,Jorgensen,LIB,1330
Georgia,Trump,REP,4900
Georgia,Biden,DEM,2059
Georgia,Jorgensen,LIB,76
Georgia,Trump,REP,51501
Georgia,Biden,DEM,24210
Georgia,Jorgensen,LIB,1088
Georgia,Trump,REP,4428
Georgia,Biden,DEM,1615
Georgia,Jorgensen,LIB,59
Georgia,Trump,REP,4987
Georgia,Biden,DEM,2986
Georgia,Jorgensen,LIB,66
Georgia,Trump,REP,6066
Georgia,Biden,DEM,1261
Georgia,Jorgensen,LIB,107
Georgia,Trump,REP,13393
Georgia,Biden,DEM,2486
Georgia,Jorgensen,LIB,196
Georgia,Trump,REP,6758
Georgia,Biden,DEM,4780
Georgia,Jorgensen,LIB,89
Georgia,Biden,DEM,306987
Georgia,Trump,REP,58170
Georgia,Jorgensen,LIB,4184
Georgia,Trump,REP,5839
Georgia,Biden,DEM,2170
Georgia,Jorgensen,LIB,55
Georgia,Trump,REP,2159
Georgia,Biden,DEM,1911
Georgia,Jorgensen,LIB,35
Georgia,Biden,DEM,24540
Georgia,Trump,REP,10446
Georgia,Jorgensen,LIB,280
Georgia,Biden,DEM,42609
Georgia,Trump,REP,25308
Georgia,Jorgensen,LIB,828
Georgia,Trump,REP,2719
Georgia,Biden,DEM,2437
Georgia,Jorgensen,LIB,28
Georgia,Trump,REP,1256
Georgia,Biden,DEM,167
Georgia,Jorgensen,LIB,18
Georgia,Trump,REP,23357
Georgia,Biden,DEM,7720
Georgia,Jorgensen,LIB,492
Georgia,Trump,REP,6226
Georgia,Biden,DEM,2879
Georgia,Jorgensen,LIB,66
Georgia,Trump,REP,6551
Georgia,Biden,DEM,2884
Georgia,Jorgensen,LIB,66
Georgia,Trump,REP,2888
Georgia,Biden,DEM,1324
Georgia,Jorgensen,LIB,35
Georgia,Trump,REP,12144
Georgia,Biden,DEM,2571
Georgia,Jorgensen,LIB,110
Georgia,Trump,REP,36316
Georgia,Biden,DEM,31863
Georgia,Jorgensen,LIB,931
Georgia,Trump,REP,27059
Georgia,Biden,DEM,10959
Georgia,Jorgensen,LIB,496
Georgia,Trump,REP,85081
Georgia,Biden,DEM,42177
Georgia,Jorgensen,LIB,1979
Georgia,Trump,REP,9069
Georgia,Biden,DEM,1593
Georgia,Jorgensen,LIB,103
Georgia,Biden,DEM,379095
Georgia,Trump,REP,136716
Georgia,Jorgensen,LIB,6239
Georgia,Trump,REP,13382
Georgia,Biden,DEM,2905
Georgia,Jorgensen,LIB,163
Georgia,Trump,REP,1403
Georgia,Biden,DEM,155
Georgia,Jorgensen,LIB,8
Georgia,Trump,REP,25616
Georgia,Biden,DEM,15879
Georgia,Jorgensen,LIB,489
Georgia,Trump,REP,19405
Georgia,Biden,DEM,4384
Georgia,Jorgensen,LIB,244
Georgia,Trump,REP,7027
Georgia,Biden,DEM,3608
Georgia,Jorgensen,LIB,54
Georgia,Trump,REP,7068
Georgia,Biden,DEM,4088
Georgia,Jorgensen,LIB,91
Georgia,Biden,DEM,241140
Georgia,Trump,REP,166016
Georgia,Jorgensen,LIB,5601
Georgia,Trump,REP,16616
Georgia,Biden,DEM,3559
Georgia,Jorgensen,LIB,232
Georgia,Trump,REP,64105
Georgia,Biden,DEM,25002
Georgia,Jorgensen,LIB,1317
Georgia,Biden,DEM,2985
Georgia,Trump,REP,1159
Georgia,Jorgensen,LIB,21
Georgia,Trump,REP,12331
Georgia,Biden,DEM,1792
Georgia,Jorgensen,LIB,125
Georgia,Trump,REP,14319
Georgia,Biden,DEM,5457
Georgia,Jorgensen,LIB,215
Georgia,Trump,REP,9464
Georgia,Biden,DEM,3157
Georgia,Jorgensen,LIB,106
Georgia,Trump,REP,4516
Georgia,Biden,DEM,824
Georgia,Jorgensen,LIB,51
Georgia,Biden,DEM,73276
Georgia,Trump,REP,48187
Georgia,Jorgensen,LIB,1279
Georgia,Trump,REP,41534
Georgia,Biden,DEM,32232
Georgia,Jorgensen,LIB,1057
Georgia,Trump,REP,3134
Georgia,Biden,DEM,1008
Georgia,Jorgensen,LIB,26
Georgia,Trump,REP,29497
Georgia,Biden,DEM,7642
Georgia,Jorgensen,LIB,531
Georgia,Trump,REP,5822
Georgia,Biden,DEM,1761
Georgia,Jorgensen,LIB,61
Georgia,Trump,REP,4695
Georgia,Biden,DEM,1028
Georgia,Jorgensen,LIB,48
Georgia,Biden,DEM,4061
Georgia,Trump,REP,3537
Georgia,Jorgensen,LIB,44
Georgia,Trump,REP,2161
Georgia,Biden,DEM,1266
Georgia,Jorgensen,LIB,28
Georgia,Trump,REP,2850
Georgia,Biden,DEM,1222
Georgia,Jorgensen,LIB,28
Georgia,Trump,REP,9965
Georgia,Biden,DEM,4888
Georgia,Jorgensen,LIB,113
Georgia,Trump,REP,6322
Georgia,Biden,DEM,2612
Georgia,Jorgensen,LIB,94
Georgia,Trump,REP,2509
Georgia,Biden,DEM,1019
Georgia,Jorgensen,LIB,48
Georgia,Trump,REP,14479
Georgia,Biden,DEM,8048
Georgia,Jorgensen,LIB,163
Georgia,Trump,REP,12007
Georgia,Biden,DEM,4558
Georgia,Jorgensen,LIB,149
Georgia,Biden,DEM,13051
Georgia,Trump,REP,7944
Georgia,Jorgensen,LIB,331
Georgia,Trump,REP,3175
Georgia,Biden,DEM,1432
Georgia,Jorgensen,LIB,36
Georgia,Trump,REP,3528
Georgia,Biden,DEM,2033
Georgia,Jorgensen,LIB,95
Georgia,Trump,REP,25691
Georgia,Biden,DEM,20117
Georgia,Jorgensen,LIB,547
Georgia,Trump,REP,12160
Georgia,Biden,DEM,3122
Georgia,Jorgensen,LIB,242
Georgia,Trump,REP,6169
Georgia,Biden,DEM,4168
Georgia,Jorgensen,LIB,118
Georgia,Trump,REP,4016
Georgia,Biden,DEM,2612
Georgia,Jorgensen,LIB,68
Georgia,Biden,DEM,2857
Georgia,Trump,REP,1783
Georgia,Jorgensen,LIB,22
Georgia,Trump,REP,11146
Georgia,Biden,DEM,3365
Georgia,Jorgensen,LIB,196
Georgia,Trump,REP,2275
Georgia,Biden,DEM,1311
Georgia,Jorgensen,LIB,38
Georgia,Trump,REP,6524
Georgia,Biden,DEM,4287
Georgia,Jorgensen,LIB,66
Georgia,Trump,REP,2066
Georgia,Biden,DEM,749
Georgia,Jorgensen,LIB,20
Georgia,Trump,REP,4935
Georgia,Biden,DEM,3995
Georgia,Jorgensen,LIB,33
Georgia,Trump,REP,11060
Georgia,Biden,DEM,4384
Georgia,Jorgensen,LIB,148
Georgia,Trump,REP,2959
Georgia,Biden,DEM,976
Georgia,Jorgensen,LIB,27
Georgia,Trump,REP,8228
Georgia,Biden,DEM,3355
Georgia,Jorgensen,LIB,122
Georgia,Trump,REP,12943
Georgia,Biden,DEM,2302
Georgia,Jorgensen,LIB,144
Georgia,Biden,DEM,49425
Georgia,Trump,REP,30018
Georgia,Jorgensen,LIB,961
Georgia,Biden,DEM,29781
Georgia,Trump,REP,23867
Georgia,Jorgensen,LIB,576
Georgia,Trump,REP,16594
Georgia,Biden,DEM,8160
Georgia,Jorgensen,LIB,411
Georgia,Trump,REP,5591
Georgia,Biden,DEM,2435
Georgia,Jorgensen,LIB,100
Georgia,Trump,REP,54460
Georgia,Biden,DEM,29658
Georgia,Jorgensen,LIB,1155
Georgia,Trump,REP,6502
Georgia,Biden,DEM,5920
Georgia,Jorgensen,LIB,123
Georgia,Trump,REP,14075
Georgia,Biden,DEM,2808
Georgia,Jorgensen,LIB,233
Georgia,Trump,REP,7899
Georgia,Biden,DEM,1099
Georgia,Jorgensen,LIB,49
Georgia,Trump,REP,9124
Georgia,Biden,DEM,1503
Georgia,Jorgensen,LIB,88
Georgia,Trump,REP,13589
Georgia,Biden,DEM,3658
Georgia,Jorgensen,LIB,152
Georgia,Trump,REP,2805
Georgia,Biden,DEM,1217
Georgia,Jorgensen,LIB,37
Georgia,Trump,REP,8291
Georgia,Biden,DEM,3448
Georgia,Jorgensen,LIB,116
Georgia,Trump,REP,604
Georgia,Biden,DEM,497
Georgia,Jorgensen,LIB,5
Georgia,Trump,REP,7474
Georgia,Biden,DEM,1984
Georgia,Jorgensen,LIB,110
Georgia,Biden,DEM,1671
Georgia,Trump,REP,1391
Georgia,Jorgensen,LIB,12
Georgia,Biden,DEM,58776
Georgia,Trump,REP,26707
Georgia,Jorgensen,LIB,1101
