broken year,industry,location,funded status,survival time,cause of failure
2017,Education,Guangdong,No Funding,1825,no business model
2017,Entertainment,Beijing,No Funding,4931,no business model
2017,New Industry,Guangdong,Series A,1552,pivot gone bad
2017,Health,Beijing,No Funding,1886,no business model
2017,E-Commerce,Shanghai,Series A,1856,no market need
2017,Marketing,Beijing,No Funding,4931,no business model
2017,E-Commerce,Beijing,No Funding,1794,no business model
2017,E-Commerce,Zhejiang,No Funding,2160,lose focus
2017,Education,Beijing,Angel Round,2191,get outcompeted
2017,E-Commerce,Jiangsu,Series A,1491,no market need
2017,Education,Beijing,Angel Round,1978,no investor interest
2017,Education,Beijing,No Funding,1552,no business model
2017,Transportation,Beijing,Series A,2039,no business model
2017,Transportation,Beijing,No Funding,2466,no business model
2017,Transportation,Jiangsu,No Funding,2070,pivot gone bad
2017,Enterprise Service,Shanghai,Angel Round,1735,ignore customers
2017,E-Commerce,Beijing,No Funding,2100,get outcompeted
2017,Logistics,Guangdong,Series D,1886,ran out of cash
2017,Travel,Beijing,Series A,1886,get outcompeted
2017,Transportation,Shanghai,No Funding,2222,no business model
2017,Education,Shanghai,Series A,1552,no market need
2017,Game,Beijing,Angel Round,1491,product mistimed
2017,Local Business,Guangdong,Angel Round,1521,get outcompeted
2017,E-Commerce,Beijing,Series D,1978,burn out
2017,Travel,Shanghai,Series C,2191,no business model
2017,Enterprise Service,Beijing,No Funding,1521,product mistimed
2017,Game,Beijing,No Funding,1674,no business model
2017,Social Media,Shandong,Pre-A Round,1552,no market need
2017,Transportation,Beijing,No Funding,2070,no investor interest
2017,Transportation,Beijing,Angel Round,1552,no market need
2017,E-Commerce,Beijing,No Funding,1978,no business model
2017,Social Media,Beijing,Acquired,2070,no market need
2017,Game,Beijing,Angel Round,2131,pricing/cost issue
2017,Social Media,Beijing,Acquired,2070,no business model
2017,E-Commerce,Shanghai,No Funding,2405,get outcompeted
2017,E-Commerce,Anhui,No Funding,2039,not the right team
2017,Hardware,Guangdong,Angel Round,1825,pricing/cost issue
2017,Hardware,Overseas,Series A,1582,product mistimed
2017,Finance,Guangdong,Angel Round,1825,no market need
2017,Marketing,Shanghai,Angel Round,1644,no market need
2017,Education,Taiwan,Angel Round,1825,no market need
2017,Education,Hunan,No Funding,1582,no business model
2017,Real Estate,Shanghai,No Funding,1552,no business model
2017,Finance,Sichuan,Angel Round,1613,supervision
2017,Local Business,Beijing,Angel Round,1644,no business model
2017,Travel,Guangdong,Series A,1644,get outcompeted
2017,Social Media,Beijing,Angel Round,2100,no market need
2017,E-Commerce,Beijing,Angel Round,1613,poor product
2017,Education,Beijing,No Funding,1735,get outcompeted
2017,Entertainment,Beijing,Angel Round,2039,poor product
2017,Transportation,Zhejiang,Series A,1552,get outcompeted
2017,E-Commerce,Guangdong,Series A,1856,no investor interest
2017,Sports,Beijing,Angel Round,1644,no investor interest
2017,E-Commerce,Beijing,Series A,1886,product mistimed
2017,Enterprise Service,Sichuan,No Funding,1582,no business model
2017,Social Media,Beijing,Acquired,3621,no business model
2017,Social Media,Beijing,No Funding,1582,no business model
2017,Transportation,Sichuan,Angel Round,1917,lose focus
2017,Tool,Sichuan,Angel Round,1917,lose focus
2017,Local Business,Shanghai,Angel Round,1582,poor marketing
2017,Enterprise Service,Beijing,No Funding,2100,get outcompeted
2017,Enterprise Service,Shanghai,Pre-A Round,2131,get outcompeted
2017,Social Media,Zhejiang,Angel Round,2009,lose focus
2017,E-Commerce,Guangdong,Angel Round,1613,ran out of cash
2017,Social Media,Hubei,Series A,2160,no business model
2017,Hardware,Guangdong,No Funding,1856,pricing/cost issue
2017,Social Media,Beijing,No Funding,2039,no business model
2017,Social Media,Beijing,No Funding,2039,no business model
2017,Tool,Sichuan,No Funding,2070,no investor interest
2017,Marketing,Beijing,No Funding,2436,no business model
2017,Transportation,Shanghai,Acquired,1825,failure to pivot
2017,Education,Zhejiang,Angel Round,1947,ran out of cash
2017,Travel,Beijing,Series A,1766,get outcompeted
2017,New Industry,Beijing,Series A,2039,product mistimed
2017,Enterprise Service,Shanghai,Angel Round,2191,ignore customers
2017,Social Media,Shanghai,No Funding,2039,no market need
2017,Health,Shanghai,Angel Round,1917,lose focus
2017,Game,Shanghai,Series A,2678,no market need
2017,Local Business,Beijing,No Funding,2222,no business model
2017,Game,Sichuan,No Funding,1674,product mistimed
2017,Education,Beijing,No Funding,1735,pivot gone bad
2017,E-Commerce,Liaoning,No Funding,2070,no business model
2017,Sports,Overseas,Series A,1886,no business model
2017,Marketing,Guangdong,No Funding,1766,no business model
2017,Local Business,Beijing,Angel Round,2131,no business model
2017,Tool,Liaoning,No Funding,1825,lose focus
2017,Local Business,Guangdong,No Funding,1856,product mistimed
2017,Entertainment,Liaoning,No Funding,1825,lose focus
2017,Education,Shanghai,No Funding,1613,product mistimed
2017,E-Commerce,Guangdong,No Funding,1917,no business model
2017,E-Commerce,Shanghai,Series A,1674,no market need
2017,Marketing,Liaoning,No Funding,1613,lose focus
2017,Local Business,Hubei,Angel Round,1917,no market need
2017,Social Media,Sichuan,No Funding,2160,no business model
2017,Social Media,Overseas,Series A,1552,poor product
2017,Social Media,Beijing,No Funding,1735,pivot gone bad
2017,Travel,Beijing,Series A,2100,poor marketing
2017,Social Media,Shanghai,Angel Round,1825,no market need
2017,Tool,Guangdong,No Funding,1917,pivot gone bad
2017,Local Business,Beijing,No Funding,1735,get outcompeted
2017,Social Media,Shandong,No Funding,2009,no business model
2017,E-Commerce,Guangdong,No Funding,2070,no business model
2017,Sports,Beijing,No Funding,1552,pivot gone bad
2017,Social Media,Shanghai,No Funding,1947,no business model
2017,Enterprise Service,Jiangsu,No Funding,2131,no business model
2017,Enterprise Service,Sichuan,No Funding,1947,no market need
2017,Social Media,Beijing,No Funding,1794,no business model
2017,Enterprise Service,Taiwan,No Funding,2191,lose focus
2017,E-Commerce,Zhejiang,Angel Round,1917,no market need
2017,Tool,Beijing,Strategic,2191,no market need
2017,Entertainment,Beijing,Series A,1825,no market need
2017,Enterprise Service,Shandong,No Funding,1735,no business model
2017,Logistics,Jiangsu,Series B,1978,ran out of cash
2017,Travel,Beijing,No Funding,2497,no business model
2017,Hardware,Overseas,Series A,1794,no market need
2017,E-Commerce,Taiwan,No Funding,1856,pivot gone bad
2017,Real Estate,Beijing,Angel Round,1613,pricing/cost issue
2017,Local Business,Zhejiang,Angel Round,4072,get outcompeted
2017,Hardware,Guangdong,Strategic,3272,pricing/cost issue
2017,Enterprise Service,Beijing,Angel Round,861,lose focus
2017,Local Business,Beijing,Series C,3991,founder
2017,Real Estate,Guangdong,Pre-A Round,822,ran out of cash
2017,Social Media,Beijing,Angel Round,1339,no business model
2017,Travel,Beijing,Series A,1542,pivot gone bad
2017,E-Commerce,Shanghai,Pre-A Round,1081,burn out
2017,Transportation,Overseas,Seed Round,676,no business model
2017,Hardware,Overseas,Series B,1766,poor product
2017,Health,Beijing,Angel Round,792,no business model
2017,Transportation,Beijing,Series A,1211,burn out
2017,Transportation,Beijing,Angel Round,498,supervision
2017,Enterprise Service,Zhejiang,Series A,741,no business model
2017,Hardware,Beijing,Series A,1102,product mistimed
2017,E-Commerce,Beijing,No Funding,1099,no business model
2017,Transportation,Beijing,Series A,1764,get outcompeted
2017,Logistics,Overseas,Seed Round,1730,burn out
2017,E-Commerce,Shanghai,Angel Round,613,no business model
2017,Transportation,Shanghai,Angel Round,858,burn out
2017,Sports,Beijing,Angel Round,855,get outcompeted
2017,Social Media,Guangdong,Series B,2954,poor product
2017,Social Media,Beijing,No Funding,1461,no business model
2017,E-Commerce,Guangdong,No Funding,816,no market need
2017,Local Business,Beijing,Series A,860,ran out of cash
2017,E-Commerce,Chongqing,No Funding,616,no business model
2017,Entertainment,Guangdong,No Funding,919,no business model
2017,Local Business,Sichuan,No Funding,830,no business model
2017,E-Commerce,Beijing,No Funding,2168,no business model
2017,Local Business,Guangdong,No Funding,891,no market need
2017,Local Business,Chongqing,Series A,799,no market need
2017,Transportation,Shandong,No Funding,890,no market need
2017,Real Estate,Guangdong,No Funding,829,get outcompeted
2017,Tool,Jiangsu,No Funding,1194,no business model
2017,Finance,Shanghai,No Funding,1010,no business model
2017,Hardware,Guangdong,Series A,1038,product mistimed
2017,Local Business,Beijing,No Funding,946,no business model
2017,E-Commerce,Guangdong,No Funding,1007,no business model
2017,E-Commerce,Guangdong,No Funding,1007,no business model
2017,Local Business,Beijing,Series B,915,no market need
2017,Entertainment,Shanghai,No Funding,1007,no market need
2017,Local Business,Zhejiang,Series A,795,burn out
2017,Transportation,Shanghai,Angel Round,1037,no market need
2017,Transportation,Anhui,No Funding,1006,pivot gone bad
2017,Travel,Beijing,Angel Round,1219,supervision
2017,Health,Beijing,Angel Round,975,no market need
2017,Health,Beijing,No Funding,3500,no business model
2017,Social Media,Fujian,No Funding,2710,no business model
2017,Enterprise Service,Sichuan,No Funding,543,no business model
2017,Health,Beijing,Series A,635,get outcompeted
2017,Education,Shandong,Angel Round,1061,lose focus
2017,Hardware,Beijing,Angel Round,1303,product mistimed
2017,E-Commerce,Shanghai,No Funding,847,no business model
2017,Game,Shanghai,Angel Round,906,no business model
2017,Hardware,Beijing,Angel Round,905,poor product
2017,Enterprise Service,Beijing,No Funding,905,failure to pivot
2017,Education,Shanghai,Angel Round,1058,lose focus
2017,E-Commerce,Guangdong,No Funding,266,product mistimed
2017,E-Commerce,Beijing,No Funding,905,pivot gone bad
2017,Travel,Sichuan,No Funding,450,no market need
2017,E-Commerce,Sichuan,No Funding,723,no business model
2017,Real Estate,Shanghai,Angel Round,996,product mistimed
2017,Enterprise Service,Shanghai,No Funding,631,pivot gone bad
2017,Tool,Shanghai,No Funding,1241,no business model
2017,Finance,Shanghai,Angel Round,631,founder
2017,Enterprise Service,Shanghai,No Funding,631,no business model
2017,Local Business,Zhejiang,Angel Round,784,pivot gone bad
2017,Travel,Shanghai,Seed Round,778,no market need
2017,E-Commerce,Guangdong,Series A,740,no investor interest
2017,Entertainment,Beijing,Series A,740,failure to pivot
2017,Social Media,Guangdong,Series A,1105,no market need
2017,E-Commerce,Fujian,Angel Round,1043,lose focus
2017,Social Media,Beijing,Angel Round,740,no market need
2017,Enterprise Service,Shanghai,Angel Round,678,no market need
2017,Real Estate,Shanghai,Series A,1132,poor product
2017,Transportation,Beijing,Angel Round,827,product mistimed
2017,Entertainment,Beijing,Series A,1009,product mistimed
2017,Transportation,Hubei,Angel Round,705,burn out
2017,Game,Beijing,Series A,1101,ran out of cash
2017,Travel,Shanghai,Pre-A Round,1101,get outcompeted
2017,Real Estate,Beijing,Angel Round,1101,no business model
2017,Finance,Beijing,Seed Round,521,legal challenges
2017,E-Commerce,Beijing,Series A,1373,poor marketing
2017,E-Commerce,Beijing,No Funding,734,no market need
2017,Tool,Beijing,No Funding,1402,no business model
2017,Local Business,Beijing,No Funding,946,no business model
2017,Social Media,Beijing,No Funding,549,pivot gone bad
2017,Social Media,Beijing,Series A,1128,no market need
2017,Local Business,Beijing,Angel Round,883,burn out
2017,E-Commerce,Shanghai,Series A,914,no market need
2017,E-Commerce,Chongqing,Series B,1189,founder
2017,Education,Zhejiang,Angel Round,824,pivot gone bad
2017,Agriculture,Beijing,Series A,1187,no investor interest
2017,Marketing,Sichuan,Angel Round,1411,failure to pivot
2017,Local Business,Shanghai,Angel Round,740,no business model
2017,Local Business,Guangdong,Angel Round,1040,no investor interest
2017,New Industry,Beijing,Series A,1831,no market need
2017,Entertainment,Guangdong,Angel Round,736,lose focus
2017,Enterprise Service,Beijing,No Funding,3960,get outcompeted
2017,Local Business,Overseas,Series B,1519,no business model
2017,Finance,Shanghai,Series B,787,supervision
2017,Entertainment,Zhejiang,No Funding,3097,lose focus
2017,E-Commerce,Zhejiang,Series A,1101,failure to pivot
2017,Education,Beijing,No Funding,1466,get outcompeted
2017,Entertainment,Beijing,Pre-A Round,1101,product mistimed
2017,E-Commerce,Sichuan,Angel Round,736,no market need
2017,Finance,Beijing,Series A,1101,supervision
2017,Real Estate,Shanghai,Seed Round,736,product mistimed
2017,Social Media,Beijing,Angel Round,1461,no business model
2017,Enterprise Service,Beijing,Angel Round,608,founder
2017,Health,Shanghai,No Funding,740,no business model
2017,Entertainment,Shanghai,Series A,1466,no business model
2017,Entertainment,Shanghai,Series B,1831,no investor interest
2017,Hardware,Shaanxi,Angel Round,785,no business model
2017,Local Business,Beijing,Series A,768,product mistimed
2017,Health,Shanghai,Angel Round,1101,poor marketing
2017,Finance,Shanghai,Series A,370,supervision
2017,Enterprise Service,Zhejiang,Series A,736,product mistimed
2017,Enterprise Service,Beijing,Angel Round,1100,lose focus
2017,Education,Beijing,Angel Round,3712,ran out of cash
2017,Transportation,Fujian,Seed Round,151,product mistimed
2017,Local Business,Guangdong,Angel Round,700,get outcompeted
2017,Social Media,Guangdong,Angel Round,740,no market need
2017,Social Media,Shanghai,Angel Round,1105,no market need
2017,Game,Shanghai,Angel Round,1134,burn out
2017,E-Commerce,Beijing,Series A,736,burn out
2017,Travel,Sichuan,Angel Round,1100,poor marketing
2017,Transportation,Beijing,Acquired,1491,burn out
2017,Finance,Beijing,Angel Round,740,no market need
2017,Travel,Shanghai,Acquired,4755,no investor interest
2017,Education,Beijing,Series B,4754,pivot gone bad
2017,Travel,Beijing,Angel Round,1101,no market need
2017,E-Commerce,Chongqing,Angel Round,1101,no business model
2017,E-Commerce,Shanghai,Angel Round,1101,no business model
2017,Local Business,Beijing,No Funding,1588,no market need
2017,Finance,Beijing,No Funding,250,supervision
2017,Local Business,Jiangsu,Pre-A Round,676,no business model
2017,Social Media,Beijing,Seed Round,370,no market need
2017,Travel,Guangdong,Angel Round,522,no business model
2017,Local Business,Guangdong,Pre-A Round,2192,pivot gone bad
2017,E-Commerce,Beijing,Seed Round,915,no business model
2017,E-Commerce,Beijing,Strategic,641,get outcompeted
2017,Social Media,Guangdong,Angel Round,976,get outcompeted
2017,Local Business,Beijing,Angel Round,731,burn out
2017,Education,Guangdong,Angel Round,945,no business model
2017,Enterprise Service,Beijing,Angel Round,641,product mistimed
2017,E-Commerce,Shanghai,Seed Round,275,no market need
2016,E-Commerce,Beijing,No Funding,2010,no business model
2016,Enterprise Service,Beijing,No Funding,2040,no business model
2016,Social Media,Henan,No Funding,1887,no business model
2016,Finance,Hunan,No Funding,1918,pivot gone bad
2016,Social Media,Guangdong,Angel Round,1979,no business model
2016,Entertainment,Beijing,Series A,1979,no business model
2016,Tool,Shanghai,Angel Round,2040,no market need
2016,Game,Shandong,No Funding,1857,get outcompeted
2016,Finance,Shanghai,No Funding,2191,pivot gone bad
2016,Game,Jiangsu,Angel Round,1979,burn out
2016,Enterprise Service,Overseas,Acquired,2191,no investor interest
2016,Enterprise Service,Shanghai,Series A,1887,get outcompeted
2016,Entertainment,Shaanxi,Angel Round,2010,failure to pivot
2016,Education,Beijing,Acquired,2071,ignore customers
2016,Social Media,Beijing,No Funding,1887,no business model
2016,Game,Beijing,Series B,1857,burn out
2016,E-Commerce,Beijing,Series A,2191,pricing/cost issue
2016,Entertainment,Fujian,No Funding,2010,no market need
2016,Enterprise Service,Shanghai,Angel Round,1918,no investor interest
2016,Game,Beijing,No Funding,2191,pivot gone bad
2016,Sports,Overseas,Series B,2191,lose focus
2016,Social Media,Sichuan,Series A,1918,no market need
2016,Local Business,Shanghai,No Funding,2132,no business model
2016,Marketing,Shanghai,No Funding,1887,no market need
2016,E-Commerce,Shanghai,Series A,2160,pricing/cost issue
2016,Social Media,Shanghai,Series A,2040,no market need
2016,Tool,Shanghai,No Funding,2191,no investor interest
2016,Education,Beijing,Angel Round,1857,no investor interest
2016,Enterprise Service,Beijing,Series A,2010,get outcompeted
2016,Tool,Zhejiang,No Funding,2101,lose focus
2016,Transportation,Beijing,Series A,2010,pricing/cost issue
2016,Tool,Hong Kong,Series A,2191,no market need
2016,Tool,Shanghai,Angel Round,1948,pivot gone bad
2016,Local Business,Shanghai,Angel Round,2040,no market need
2016,Tool,Guangdong,No Funding,1857,pivot gone bad
2016,Education,Sichuan,No Funding,1887,get outcompeted
2016,Social Media,Beijing,No Funding,2132,pivot gone bad
2016,Finance,Beijing,No Funding,2191,supervision
2016,Enterprise Service,Shanghai,No Funding,1857,no business model
2016,Marketing,Beijing,No Funding,2071,no business model
2016,Social Media,Zhejiang,Angel Round,1979,get outcompeted
2016,Tool,Beijing,Angel Round,1857,ran out of cash
2016,Local Business,Hubei,No Funding,1857,get outcompeted
2016,E-Commerce,Beijing,Series A,1948,no market need
2016,Local Business,Overseas,Series A,1918,no market need
2016,Entertainment,Beijing,Series A,1857,get outcompeted
2016,Local Business,Jiangsu,No Funding,2010,no business model
2016,Enterprise Service,Shanghai,Angel Round,1887,no business model
2016,Marketing,Shanghai,Angel Round,2101,no business model
2016,Game,Shanghai,Angel Round,2132,no investor interest
2016,E-Commerce,Beijing,Series A,2101,pricing/cost issue
2016,Transportation,Beijing,Series A,1887,get outcompeted
2016,Enterprise Service,Beijing,Angel Round,2010,no market need
2016,Transportation,Shaanxi,Angel Round,2010,get outcompeted
2016,Entertainment,Guangdong,No Funding,1887,product mistimed
2016,Travel,Beijing,Acquired,2101,get outcompeted
2016,Game,Fujian,No Funding,2132,no investor interest
2016,Game,Fujian,No Funding,2132,no investor interest
2016,Entertainment,Beijing,Angel Round,2071,no market need
2016,E-Commerce,Zhejiang,Angel Round,1979,no market need
2016,Marketing,Guangdong,Series B,1948,ignore customers
2016,Travel,Beijing,Angel Round,2101,pricing/cost issue
2016,Social Media,Sichuan,No Funding,1918,no business model
2016,Hardware,Guangdong,Series A,1918,pricing/cost issue
2016,Game,Shanghai,No Funding,2010,lose focus
2016,Enterprise Service,Guangdong,No Funding,2132,get outcompeted
2016,Hardware,Overseas,Series B,2071,burn out
2016,Enterprise Service,Guangdong,No Funding,2132,pricing/cost issue
2016,E-Commerce,Beijing,Series A,1887,pricing/cost issue
2016,Education,Beijing,Series A,2191,ignore customers
2016,Tool,Beijing,Angel Round,2071,no market need
2016,Enterprise Service,Shanghai,Series B,2071,no market need
2016,Tool,Beijing,Angel Round,1918,no investor interest
2016,Local Business,Beijing,Series A,2010,get outcompeted
2016,Entertainment,Beijing,Angel Round,2160,poor marketing
2016,Game,Beijing,Series A,2191,get outcompeted
2016,Enterprise Service,Shanghai,No Funding,1887,no business model
2016,Local Business,Shanghai,Series A,720,burn out
2016,E-Commerce,Shanghai,No Funding,682,no market need
2016,E-Commerce,Shanghai,Angel Round,740,no market need
2016,Tool,Beijing,Angel Round,740,no business model
2016,Transportation,Beijing,Series C,1101,burn out
2016,Logistics,Shanghai,Pre-A Round,1466,poor marketing
2016,Social Media,Beijing,Angel Round,1101,no market need
2016,Travel,Guangdong,Angel Round,1101,no business model
2016,E-Commerce,Beijing,No Funding,2135,no business model
2016,Transportation,Shanghai,Series A,740,no market need
2016,E-Commerce,Beijing,Angel Round,458,no market need
2016,Real Estate,Beijing,Series A,1219,ran out of cash
2016,Entertainment,Jiangsu,No Funding,1105,no business model
2016,Social Media,Shanghai,Series A,1832,no market need
2016,Local Business,Shanghai,Series A,1832,founder
2016,Tool,Beijing,No Funding,915,no business model
2016,Tool,Shanghai,Angel Round,740,no market need
2016,Finance,Beijing,No Funding,860,no market need
2016,Health,Hubei,No Funding,769,no business model
2016,Health,Beijing,No Funding,769,no business model
2016,Health,Beijing,No Funding,798,no business model
2016,Entertainment,Beijing,No Funding,1741,no business model
2016,Local Business,Guangdong,No Funding,768,no market need
2016,E-Commerce,Shanghai,No Funding,949,no business model
2016,Enterprise Service,Shanghai,No Funding,1221,no business model
2016,Transportation,Shanghai,No Funding,734,product mistimed
2016,Tool,Beijing,No Funding,794,get outcompeted
2016,Finance,Shandong,No Funding,1220,no business model
2016,Transportation,Beijing,Angel Round,794,failure to pivot
2016,E-Commerce,Liaoning,No Funding,1190,get outcompeted
2016,Education,Beijing,Angel Round,1310,no business model
2016,Entertainment,Beijing,No Funding,641,get outcompeted
2016,Tool,Zhejiang,No Funding,1310,no business model
2016,Tool,Zhejiang,No Funding,1310,no business model
2016,Finance,Guangdong,No Funding,764,no business model
2016,Enterprise Service,Shanghai,No Funding,1036,no business model
2016,Sports,Beijing,No Funding,520,no business model
2016,Enterprise Service,Beijing,No Funding,885,failure to pivot
2016,New Industry,Sichuan,No Funding,1278,no business model
2016,Finance,Shanghai,No Funding,1005,supervision
2016,Travel,Henan,No Funding,1615,no business model
2016,Logistics,Shanghai,No Funding,913,no business model
2016,Enterprise Service,Shanghai,No Funding,854,no business model
2016,Social Media,Beijing,No Funding,854,product mistimed
2016,Local Business,Shandong,No Funding,974,pivot gone bad
2016,Finance,Beijing,No Funding,853,no business model
2016,Finance,Beijing,No Funding,943,supervision
2016,Game,Sichuan,Angel Round,1888,no business model
2016,Enterprise Service,Guangdong,No Funding,943,no business model
2016,Tool,Beijing,No Funding,884,no market need
2016,Entertainment,Shanghai,No Funding,943,pivot gone bad
2016,E-Commerce,Guangxi,No Funding,943,no market need
2016,E-Commerce,Guangxi,No Funding,974,no market need
2016,Local Business,Shanghai,No Funding,1126,no business model
2016,Entertainment,Beijing,No Funding,1126,no business model
2016,E-Commerce,Guangdong,No Funding,1245,no business model
2016,Game,Beijing,No Funding,3496,no business model
2016,Marketing,Beijing,No Funding,1092,get outcompeted
2016,Hardware,Jiangsu,Series A,1122,no business model
2016,Finance,Shanghai,No Funding,3829,no business model
2016,Health,Jiangsu,Angel Round,1030,get outcompeted
2016,Education,Beijing,No Funding,1853,product mistimed
2016,Health,Beijing,No Funding,1302,no business model
2016,Tool,Beijing,No Funding,1728,no business model
2016,Game,Sichuan,No Funding,1636,no business model
2016,E-Commerce,Beijing,No Funding,785,no business model
2016,Health,Beijing,No Funding,1301,no business model
2016,Health,Beijing,Angel Round,905,pricing/cost issue
2016,Enterprise Service,Jiangsu,No Funding,1270,poor product
2016,Transportation,Zhejiang,No Funding,1301,get outcompeted
2016,E-Commerce,Liaoning,No Funding,935,no business model
2016,Enterprise Service,Shanghai,No Funding,2975,lose focus
2016,Local Business,Fujian,Series A,1119,no business model
2016,Social Media,Guangdong,No Funding,3036,no business model
2016,Social Media,Beijing,No Funding,2337,lose focus
2016,Transportation,Jiangsu,No Funding,1180,no business model
2016,Entertainment,Beijing,No Funding,1269,lose focus
2016,Sports,Beijing,No Funding,1941,no business model
2016,Finance,Beijing,No Funding,1088,no business model
2016,Social Media,Shanghai,Angel Round,1180,no business model
2016,Game,Beijing,Acquired,1206,no business model
2016,Local Business,Beijing,Angel Round,780,no market need
2016,Enterprise Service,Beijing,Angel Round,780,no market need
2016,Travel,Beijing,No Funding,658,no business model
2016,Social Media,Beijing,Angel Round,643,no market need
2016,Finance,Beijing,Series A,1130,no business model
2016,Local Business,Shanghai,Series A,1800,no business model
2016,Transportation,Beijing,Series B,1831,get outcompeted
2016,Health,Shanghai,Series A,857,no market need
2016,E-Commerce,Beijing,Angel Round,947,get outcompeted
2016,E-Commerce,Guangdong,Series A,765,no business model
2016,Social Media,Beijing,Angel Round,643,no market need
2016,Local Business,Shanghai,Series A,1100,get outcompeted
2016,Game,Shanghai,No Funding,1130,get outcompeted
2016,Hardware,Beijing,Series A+,1130,not the right team
2016,Education,Shanghai,Angel Round,643,product mistimed
2016,Hardware,Beijing,Series A,1100,pricing/cost issue
2016,Hardware,Beijing,Series A,1281,product mistimed
2016,Travel,Beijing,Angel Round,431,no market need
2016,Enterprise Service,Anhui,Pre-A Round,704,get outcompeted
2016,Travel,Zhejiang,Series A,1130,no business model
2016,Health,Beijing,Angel Round,1191,no business model
2016,Travel,Sichuan,Angel Round,1038,get outcompeted
2016,Entertainment,Beijing,Series A,1100,no market need
2016,E-Commerce,Beijing,Series B,1008,burn out
2016,Entertainment,Beijing,Angel Round,339,product mistimed
2016,New Industry,Guangdong,No Funding,1191,ran out of cash
2016,Education,Beijing,Series A,1100,get outcompeted
2016,Hardware,Shanghai,Angel Round,1281,no market need
2016,Local Business,Zhejiang,Series B,673,no market need
2016,Finance,Shanghai,Series A,431,no business model
2016,Finance,Zhejiang,Series A,551,product mistimed
2016,Finance,Beijing,Series A,673,supervision
2016,Travel,Shanghai,Series A,735,founder
2016,Entertainment,Beijing,Angel Round,1038,lose focus
2016,Social Media,Beijing,Angel Round,673,no market need
2016,Social Media,Beijing,Angel Round,1130,no market need
2016,Local Business,Beijing,Series B,643,no investor interest
2016,Local Business,Beijing,Series A,704,burn out
2016,Finance,Beijing,Angel Round,459,supervision
2016,Social Media,Beijing,Angel Round,671,no business model
2016,Entertainment,Zhejiang,Angel Round,763,product mistimed
2016,Tool,Beijing,Series A,1067,no business model
2016,Entertainment,Guangdong,Angel Round,1159,pivot gone bad
2016,Entertainment,Beijing,No Funding,1735,no market need
2016,Social Media,Beijing,Series A,1102,legal challenges
2016,Tool,Beijing,Angel Round,1466,no business model
2016,Entertainment,Beijing,Acquired,1466,pivot gone bad
2016,E-Commerce,Beijing,No Funding,517,no market need
2016,Social Media,Shanghai,Series A,1466,no market need
2016,Enterprise Service,Beijing,No Funding,1461,pivot gone bad
2016,Entertainment,Beijing,Angel Round,1102,no business model
2016,Finance,Guangdong,Strategic,340,supervision
2016,Entertainment,Beijing,Angel Round,288,get outcompeted
2016,Local Business,Beijing,Angel Round,1101,no market need
2016,Health,Shanghai,No Funding,182,no business model
2016,Logistics,Hunan,Series A,365,product mistimed
2016,E-Commerce,Beijing,Angel Round,1831,no market need
2016,Travel,Shanghai,Series B,1466,no market need
2016,Entertainment,Zhejiang,Angel Round,1401,no market need
2016,Social Media,Beijing,Angel Round,761,no market need
2015,Enterprise Service,Beijing,Series B,2404,ran out of cash
2015,Real Estate,Beijing,Series A,2312,get outcompeted
2015,E-Commerce,Beijing,No Funding,2039,lose focus
2015,Tool,Beijing,Series C,2039,lose focus
2015,Tool,Beijing,Series C,2039,lose focus
2015,Social Media,Shanghai,Series B,2039,no market need
2015,Tool,Beijing,Acquired,2524,pivot gone bad
2015,Social Media,Overseas,Acquired,1886,no market need
2015,E-Commerce,Shanghai,Series B,2374,pricing/cost issue
2015,Transportation,Shanghai,No Funding,1947,no business model
2015,Local Business,Beijing,Angel Round,1978,poor marketing
2015,E-Commerce,Shanghai,Series B,2100,pricing/cost issue
2015,Tool,Shanghai,No Funding,2190,get outcompeted
2015,Finance,Guangdong,Series A,2404,no business model
2015,New Industry,Overseas,Acquired,2555,poor product
2015,E-Commerce,Guangdong,Series B,2131,get outcompeted
2015,Game,Shanghai,Series A,2100,get outcompeted
2015,Social Media,Beijing,Angel Round,2070,no market need
2015,Game,Beijing,Series A,2131,get outcompeted
2015,Local Business,Zhejiang,No Funding,1886,get outcompeted
2015,Travel,Zhejiang,No Funding,2190,get outcompeted
2015,Education,Beijing,Series A,1947,pricing/cost issue
2015,Hardware,Zhejiang,No Funding,1947,no investor interest
2015,Education,Beijing,Series A,1917,lose focus
2015,Finance,Shanghai,Angel Round,2374,supervision
2015,Health,Beijing,No Funding,1856,no business model
2015,E-Commerce,Shanghai,Series A,2070,ignore customers
2015,Social Media,Guangdong,Series A,2131,pivot gone bad
2015,Finance,Sichuan,Acquired,1917,supervision
2015,Social Media,Shanghai,Series A,2039,pivot gone bad
2015,Marketing,Zhejiang,No Funding,1856,failure to pivot
2015,Game,Guangdong,No Funding,2496,get outcompeted
2015,Game,Guangdong,Series A,2282,get outcompeted
2015,Local Business,Shanghai,Angel Round,1856,no market need
2015,Logistics,Beijing,Series A,2555,product mistimed
2015,E-Commerce,Beijing,Angel Round,2190,no investor interest
2015,Entertainment,Shanghai,Series A,1886,no investor interest
2015,Local Business,Shanghai,Angel Round,2496,get outcompeted
2015,Education,Zhejiang,Series A,2343,no business model
2015,Social Media,Beijing,No Funding,2435,no business model
